sample_id_pangaea;ocean_region;depth;depthplot;sizeplot;abs_lat;temperature;chla;phosphate;nitrate_nitrite;silicate;OTU_richness;Shannon;Inv_Simpson;Pielou
TARA_N000002406;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;micro;31.4794;15.321075;0.158691;0.1252;0.047;4.4468;111;3.71249770253822;23.1542913608131;0.788294701136795
TARA_N000002412;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;nano;31.4868;25.164595;0.101563;0.0062;0.01;2.4278;69;2.96409930671201;11.5881172597586;0.700053081681739
TARA_N000002414;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;nano;31.471;15.321075;0.158691;0.1252;0.047;4.4468;148;3.70198850334161;16.7613465126292;0.740810736173334
TARA_N000002416;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;piconano;31.5213;25.164595;0.101563;0.0062;0.01;2.4278;31;2.18318036240008;5.91823939353003;0.63575669692322
TARA_N000002418;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;piconano;31.5168;15.321075;0.158691;0.1252;0.047;4.4468;103;3.69860255622287;21.5147159479808;0.798019164791694
TARA_N000002420;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;piconano;31.5213;25.164595;0.101563;0.0062;0.01;2.4278;45;2.71494684950129;9.91805169085759;0.713209236909549
TARA_N000002422;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;piconano;31.5168;15.321075;0.158691;0.1252;0.047;4.4468;153;3.80763609985041;22.4902602006046;0.756919409274103
TARA_N000002426;[NPO] North Pacific Ocean (MRGID:1908);MES;MES;piconano;31.528;6.634392;0;NA;NA;NA;3;1.09861228866811;3;1
TARA_N000002427;[NPO] North Pacific Ocean (MRGID:1908);MES;MES;nano;31.528;6.634392;0;NA;NA;NA;55;3.502125302409;19.1033138401559;0.873929154509732
TARA_N000002428;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;meso;35.4155;19.29176;0.157531;0.2925;0.011;1.95475;6;1.58109375017182;3.85714285714286;0.882425223544658
TARA_N000002430;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;meso;35.3802;13.874505;0.389715;0.43225;0.92875;2.65725;30;3.22293309694697;20.2660550458716;0.947587786090771
TARA_N000002448;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;micro;35.4;19.29176;0.157531;0.2925;0.011;1.95475;46;2.58081897499779;5.55163811131087;0.674082189406516
TARA_N000002450;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;micro;35.3915;13.874505;0.389715;0.43225;0.92875;2.65725;22;2.54240952367167;7.51926298157454;0.822508769140142
TARA_N000002452;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;nano;35.3888;19.29176;0.157531;0.2925;0.011;1.95475;95;3.19785909544259;13.1719512224184;0.702227831705535
TARA_N000002454;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;nano;35.4135;13.874505;0.389715;0.43225;0.92875;2.65725;127;2.89361857217205;8.77315627105507;0.59733831921167
TARA_N000002456;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;piconano;35.3671;19.24802;0.140785;0.2925;0.011;1.95475;30;2.5052969126483;7.61714895319376;0.736592626513188
TARA_N000002458;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;piconano;35.4002;13.874505;0.389715;0.43225;0.92875;2.65725;55;0.986586515265798;1.5121209225942;0.246195279918698
TARA_N000002460;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;piconano;35.3671;19.24802;0.140785;0.2925;0.011;1.95475;50;2.96730178596907;11.1560229688144;0.758508265889995
TARA_N000002462;[NPO] North Pacific Ocean (MRGID:1908);DCM;MIX/DCM;piconano;35.4002;13.874505;0.389715;0.43225;0.92875;2.65725;77;1.94801678147294;2.68472100172787;0.448458573137846
TARA_N000002464;[NPO] North Pacific Ocean (MRGID:1908);SRF;SRF;piconano;32.9986;17.46236;0.253087;0.288583;0.029292;1.223291;136;3.93331312240557;31.6809014156576;0.800649183362339
TARA_N000002480;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;piconano;43.7899;14.29128;0.119381;0.167;2.2565;1.255;94;3.40420153279469;17.2511395872053;0.749280356203042
TARA_N000002482;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;piconano;43.7899;14.29128;0.119381;0.167;2.2565;1.255;98;3.45882812883619;18.3838155928896;0.754384441095118
TARA_N000002509;[NAO] North Atlantic Ocean (MRGID:1912);MES;MES;piconano;34.0771;10.496305;0.00482;1.34475;20.924;NA;9;2.00288304109065;6.14893617021277;0.911551355173181
TARA_N000002510;[NAO] North Atlantic Ocean (MRGID:1912);MES;MES;nano;34.0771;10.496305;0.00482;1.34475;20.924;NA;109;3.11768218958135;10.1454545454546;0.66456000873249
TARA_N000002695;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;piconano;35.9346;17.627142;0.191003;0.0055;0.1695;0.8358;99;3.35266161669423;14.0841296710898;0.729613530449272
TARA_N000002697;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;piconano;35.9346;17.627142;0.191003;0.0055;0.1695;0.8358;51;2.52359905029426;5.71425414364641;0.641839004581105
TARA_N000002699;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;nano;35.8641;17.627142;0.191003;0.0055;0.1695;0.8358;130;2.08870854539266;2.96017935004369;0.429110172029119
TARA_N000002701;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;micro;35.8913;17.627142;0.191003;0.0055;0.1695;0.8358;49;3.16673349057108;14.6477172312224;0.813689545765626
TARA_N000002703;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;meso;35.9167;17.627142;0.191003;0.0055;0.1695;0.8358;3;1.03972077083992;2.66666666666667;0.946394630357186
TARA_N000002717;[NAO] North Atlantic Ocean (MRGID:1912);DCM;MIX/DCM;micro;35.8605;17.585567;0.21402;0;0.1745;0.8423;32;2.70775837489304;7.6553715825953;0.781293915876751
TARA_N000002719;[NAO] North Atlantic Ocean (MRGID:1912);DCM;MIX/DCM;meso;35.7867;17.585567;0.21402;0;0.1745;0.8423;12;2.37862019941021;9.75675675675676;0.957227185823316
TARA_N000002723;[NAO] North Atlantic Ocean (MRGID:1912);DCM;MIX/DCM;piconano;36.1811;16.74703;0.16463;0.022;0.142;0.6335;114;2.12124480955488;2.56508072145756;0.44787920790649
TARA_N000002737;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;piconano;36.1715;17.303005;0.111686;0.0125;NA;0.6545;93;3.32540554810252;12.9735261896329;0.733664104478176
TARA_N000002739;[NAO] North Atlantic Ocean (MRGID:1912);DCM;MIX/DCM;piconano;36.1811;16.74703;0.16463;0.022;0.142;0.6335;151;3.76989085806763;21.331882942312;0.75138142194214
TARA_N000002741;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;piconano;36.1715;17.303005;0.111686;0.0125;NA;0.6545;86;2.79126093697922;7.75982496093847;0.626637473761176
TARA_N000002745;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;nano;36.1399;17.303005;0.111686;0.0125;NA;0.6545;138;2.78524000609636;5.42593778894537;0.565272296510037
TARA_N000002749;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;micro;36.15;17.303005;0.111686;0.0125;NA;0.6545;26;2.00776739916974;3.63344969850841;0.616239382639342
TARA_N000002751;[NAO] North Atlantic Ocean (MRGID:1912);DCM;MIX/DCM;meso;36.1765;16.73703;0.16463;0.022;0.142;0.6335;12;2.28416744926696;8.06666666666667;0.919216602950392
TARA_N000002753;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;meso;36.1631;17.303005;0.111686;0.0125;NA;0.6545;12;1.60114797605042;2.71122994652406;0.644349346558762
TARA_N000002755;[NAO] North Atlantic Ocean (MRGID:1912);DCM;MIX/DCM;micro;36.1736;16.73703;0.16463;0.022;0.142;0.6335;47;2.74006990243187;6.88114652829257;0.711679183731775
TARA_N000002773;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;piconano;43.6792;14.31675;0.191493;0.1595;2.159;1.236;94;3.48421007161351;19.6404193009825;0.766890602214604
TARA_N000002775;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;piconano;43.7056;14.29128;0.119381;0.167;2.2565;1.255;106;3.4820341205498;18.860258740511;0.746666580238203
TARA_N000002777;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;meso;43.6825;14.31675;0.191493;0.1595;2.159;1.236;35;3.42998036876644;26.984496124031;0.964738278628492
TARA_N000002781;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;micro;43.6904;14.31675;0.191493;0.1595;2.159;1.236;121;3.35805115678121;10.5807925703706;0.700208052218713
TARA_N000002783;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;micro;43.7421;14.29128;0.119381;0.167;2.2565;1.255;104;3.68459903052427;20.6688156198195;0.793343865867418
TARA_N000002789;[NAO] North Atlantic Ocean (MRGID:1912);SRF;SRF;piconano;43.6792;14.31675;0.191493;0.1595;2.159;1.236;34;2.0134378068222;4.11679415665825;0.570967657097783
TARA_N000002791;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;piconano;43.7056;14.29128;0.119381;0.167;2.2565;1.255;53;2.72325381370848;7.89052343482724;0.685907704774295
TARA_N000002795;[NAO] North Atlantic Ocean (MRGID:1912);MES;MES;piconano;43.7182;10.167675;0;NA;NA;NA;7;1.88669678465808;6.25;0.969570350190125
TARA_N000002796;[NAO] North Atlantic Ocean (MRGID:1912);MES;MES;nano;43.7182;10.167675;0;NA;NA;NA;67;1.61568237826643;2.00844380712387;0.384256953960278
TARA_N000002797;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;nano;43.7056;14.29128;0.119381;0.167;2.2565;1.255;118;2.51637862800627;3.85359340990427;0.527466983481038
TARA_N000002803;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;piconano;43.7899;14.29128;0.119381;0.167;2.2565;1.255;107;3.42809905605083;18.6689786845479;0.733623930491259
TARA_N000002807;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;meso;44.0722;13.401785;0.050697;0.249;3.642;1.626;58;3.17107321555915;9.76985014538134;0.7809673001992
TARA_N000002809;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;meso;44.0852;13.93922;0.122694;0.254;3.205;1.538;18;2.52394574642957;7.71559633027523;0.873225300356067
TARA_N000002811;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;micro;44.0722;13.401785;0.050697;0.249;3.642;1.626;96;3.55642993245425;18.1696131005445;0.77917586110155
TARA_N000002813;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;micro;44.074;13.87241;0.116554;0.254;3.205;1.538;91;3.82412782786278;29.6692480770237;0.847760348629357
TARA_N000002817;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;nano;44.0497;13.93922;0.122694;0.254;3.205;1.538;155;2.17027121169566;3.18546077422692;0.430316929741857
TARA_N000002819;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;piconano;44.0342;13.410555;0.050697;0.249;3.642;1.626;58;0.62745952541769;1.2866571143658;0.154529819477321
TARA_N000002821;[NAO] North Atlantic Ocean (MRGID:1912);MIX;MIX/DCM;piconano;44.0497;13.93922;0.122694;0.254;3.205;1.538;53;2.10324588625867;3.9517417048588;0.529745905856315
